count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,bucket_type,bucket
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,74.22,71.3,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,candidate_d3_drawdown,data_issue
1073,-0.3076,-1.6694,4.5498,3.5564,-4.8331,0.0913,0.3514,0.2349,0.0923,0.0746,20.4333,16.0,1.4091,1.0,1.1174,1.0,63.2704,65.75,58.5033,58.0,63.4371,81.0,69.3439,70.0,63.9935,70.0,3.4038,3.5668,3.4038,3.5668,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-3_to_-7
434,-5.0081,-6.2146,2.3234,1.7964,-8.38,0.0115,0.788,0.0899,0.0184,0.0737,21.6607,16.0,1.371,1.0,1.1705,1.0,65.155,68.725,60.2995,60.0,66.5184,89.0,71.7604,72.0,63.2028,70.0,3.3922,3.6528,3.3922,3.6528,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-7_to_-10
751,4.5996,3.7338,8.3744,7.8264,-1.6893,0.2676,0.0,0.5792,0.3196,0.0479,21.2821,16.5,1.3569,1.0,1.0999,1.0,62.4621,64.25,57.5632,58.0,63.1891,79.0,67.1744,66.0,64.8269,70.0,3.3223,3.5095,3.3223,3.5095,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_0_to_-3
299,-10.2621,-10.3367,0.7758,0.3033,-12.8182,0.0,0.9532,0.0602,0.01,0.0502,21.025,18.0,1.3478,1.0,1.1472,1.0,66.9522,70.25,64.2542,70.0,66.3946,89.0,73.0301,74.0,64.0468,70.0,3.2535,3.464,3.2535,3.464,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_<-10
395,11.4789,10.2007,14.7229,14.5149,2.5678,0.7241,0.0,0.9544,0.7823,0.0051,18.8,13.0,0.7165,0.0,1.1924,1.0,65.602,68.25,62.3241,70.0,72.3975,91.0,63.7114,62.0,65.0759,70.0,2.9441,3.2835,2.9441,3.2835,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_none_or_positive
2797,0.9409,0.0169,6.3002,5.0298,-4.3023,0.2049,0.3336,0.3876,0.2292,0.0,17.3117,13.0,1.2631,1.0,1.1294,1.0,63.1634,65.45,58.3582,58.0,64.3146,89.0,68.1931,70.0,64.074,70.0,3.2633,3.4699,3.2633,3.4699,WATCH_ONLY,zero,A,ordinary,executed_realized_d3_return,not_executed
40,-3.5943,-3.3897,1.5006,1.6332,-5.7144,0.0,0.575,0.025,0.0,1.0,21.425,17.5,1.875,2.0,1.175,1.0,80.4825,80.4,81.95,82.0,85.35,91.0,82.55,84.0,65.5,70.0,3.8963,4.1412,3.8963,4.1412,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-3_to_0
30,-6.668,-6.4473,0.7005,0.0,-7.846,0.0,1.0,0.0,0.0,1.0,27.6667,28.0,1.8,2.0,1.4,1.0,80.125,80.1,81.3333,82.0,82.6667,80.0,83.0667,86.0,68.1667,70.0,3.9567,4.0557,3.9567,4.0557,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-7_to_-3
31,0.2327,0.0564,3.1887,2.8731,-4.4572,0.0,0.0645,0.0323,0.0,1.0,23.8387,19.0,1.8387,2.0,1.129,1.0,79.2516,78.75,81.871,82.0,84.871,91.0,76.7742,78.0,67.9032,70.0,4.0284,3.9491,4.0284,3.9491,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_0_to_3
3,3.9359,2.3451,4.7273,3.3602,-2.1005,0.3333,0.0,0.3333,0.0,1.0,31.3333,25.0,1.6667,1.0,1.0,1.0,76.7667,77.55,79.3333,78.0,86.3333,89.0,72.6667,70.0,61.6667,70.0,3.7615,3.9718,3.7615,3.9718,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_3_to_7
49,4.765,4.1157,9.4088,8.4848,-3.7176,0.3265,0.0816,0.6939,0.3673,1.0,20.5918,16.0,1.3878,1.0,1.1837,1.0,78.9592,78.75,81.6327,82.0,84.1429,89.0,77.9184,78.0,65.8163,70.0,3.9171,4.1667,3.9171,4.1667,D2_LOW_ABSORB,normal,A,success,executed_realized_d3_return,realized_7_to_10
12,-9.5387,-8.8523,1.1142,0.8922,-10.7342,0.0,1.0,0.0,0.0,1.0,36.75,33.0,1.6667,1.0,1.0833,1.0,75.1583,75.75,79.5,82.0,79.3333,79.0,69.5,65.0,67.5,70.0,3.8754,4.1404,3.8754,4.1404,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_<-7
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,74.22,71.3,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,opportunity_d3_max_return,data_issue
780,-4.3339,-3.9496,1.5248,1.5458,-6.5355,0.0,0.6051,0.0,0.0,0.0731,23.4231,21.5,1.6077,1.0,1.0744,1.0,61.1051,63.25,54.6179,58.0,61.2256,79.0,68.5949,70.0,63.5577,70.0,3.4586,3.647,3.4586,3.647,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_0_to_3
374,7.5706,8.4457,11.7907,11.469,-1.2459,0.6497,0.0267,1.0,1.0,0.0321,14.7209,12.0,1.0401,1.0,1.1578,1.0,65.3414,68.075,63.2674,70.0,66.8984,89.0,66.9412,68.0,64.9198,70.0,3.16,3.4603,3.16,3.4603,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_10_to_15
768,-0.5856,0.2104,4.882,4.8132,-4.6621,0.0,0.2669,0.0,0.0,0.0547,21.7792,18.0,1.2565,1.0,1.1055,1.0,63.8757,66.35,58.5938,58.0,66.2292,89.0,68.8438,70.0,63.9974,70.0,3.3981,3.5023,3.3981,3.5023,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_3_to_7
462,2.9403,3.7343,8.5507,8.4711,-2.9542,0.1818,0.1082,1.0,0.0,0.0411,20.2653,16.0,1.0065,1.0,1.2056,1.0,66.464,69.75,63.5195,70.0,69.1082,89.0,68.9177,70.0,64.8377,70.0,3.1945,3.486,3.1945,3.486,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_7_to_10
283,-8.2034,-7.6464,-1.4427,-0.9276,-10.2374,0.0,0.9435,0.0,0.0,0.1025,21.7292,11.5,1.6784,1.0,1.1378,1.0,65.0823,68.5,59.5689,58.0,63.7597,79.0,75.0318,78.0,63.5689,70.0,3.4136,3.6551,3.4136,3.6551,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_<0
285,15.363,16.1628,18.7244,19.0193,1.7413,0.9228,0.0,1.0,1.0,0.0211,19.2917,18.0,0.9263,0.0,1.2211,1.0,65.7056,68.45,65.0386,70.0,67.4702,89.0,64.9614,62.0,65.5614,70.0,2.8915,3.252,2.8915,3.252,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_>=15
485,-1.5572,-1.5016,3.7756,2.947,-4.3334,0.0,0.0,0.1629,0.0474,0.0742,19.6981,14.0,1.4247,1.0,1.1113,1.0,63.1546,65.55,56.6186,58.0,66.4227,89.0,68.5856,68.0,63.9072,70.0,3.3793,3.5656,3.3793,3.5656,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_-3_to_0
591,-4.8472,-4.7912,2.1978,1.6756,-6.5248,0.0,1.0,0.0677,0.0102,0.0761,21.1406,17.0,1.5076,1.0,1.1134,1.0,62.5811,65.55,56.5854,58.0,62.8274,79.0,70.0643,72.0,63.6887,70.0,3.4525,3.6274,3.4525,3.6274,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_-7_to_-3
431,1.4588,1.433,5.5016,4.9912,-3.1099,0.0,0.0,0.2575,0.0603,0.0603,22.4898,19.0,1.3132,1.0,1.1067,1.0,63.9614,66.8,59.4571,60.0,64.645,89.0,69.1972,70.0,64.6056,70.0,3.3341,3.5668,3.3341,3.5668,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_0_to_3
442,4.9176,4.8661,8.3234,7.8269,-2.1791,0.0,0.0,0.6357,0.2127,0.0339,20.4146,15.0,1.0679,1.0,1.1493,1.0,64.5552,66.75,59.8959,59.0,66.8439,89.0,68.733,70.0,64.6493,70.0,3.3052,3.5375,3.3052,3.5375,WATCH_ONLY,zero,A,missed_unselected,primary_d3_close_return,close_3_to_7
223,8.4302,8.3732,11.3255,10.6713,-0.9358,1.0,0.0,1.0,0.6233,0.0359,16.2083,12.5,1.0717,1.0,1.1839,1.0,64.761,67.75,63.3274,70.0,66.4709,89.0,65.3991,64.0,64.1928,70.0,3.2557,3.5102,3.2557,3.5102,WATCH_ONLY,zero,A,missed_unselected,primary_d3_close_return,close_7_to_10
413,-10.1789,-9.5049,0.9176,0.6231,-11.5063,0.0,1.0,0.0484,0.0097,0.063,23.5893,19.0,1.3874,1.0,1.1211,1.0,65.3525,68.25,61.6368,70.0,65.276,81.0,71.8886,72.0,63.2567,70.0,3.3721,3.5959,3.3721,3.5959,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_<-7
367,15.1448,14.372,16.7365,16.8976,0.8511,1.0,0.0,1.0,1.0,0.0245,18.4375,14.5,1.0354,0.0,1.1935,1.0,65.0093,67.75,63.8256,70.0,66.2289,89.0,64.9864,62.0,65.7766,70.0,2.8863,3.1915,2.8863,3.1915,WATCH_ONLY,zero,A,missed_unselected,primary_d3_close_return,close_>=10
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,74.22,71.3,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,primary_d3_close_return,data_issue
